,Law,Text,Category,Category_New,text_clean
962,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,SELNKIS,C,C,selnki
963,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"JUNE Every state of Mexico, except Mexico City, has CEFPP.",C,C,june everi state of mexico except mexico citi ha cefpp
965,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"▪ Every state in Mexico, except Mexico City, has CEFPP.",C,C,▪ everi state in mexico except mexico citi ha cefpp
966,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Each of the Mexican states, except Mexico City, has a CEPFP.",C,C,each of the mexican state except mexico citi ha a cepfp
968,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"""Each of the Mexican states, except Mexico City, has a CEFPP.",C,C,`` each of the mexican state except mexico citi ha a cefpp
969,Law 5862/1972 - Infraero,"The Ministry of Aeronautics is authorized to create subsidiary companies of INFRAERO to carry out its objectives. Sole paragraph. ARSA - Aeroportos do Rio de Janeiro Sociedade Anônima, authorized to be established by Law 5.580, of May 25, 1970, will become a subsidiary of INFRAERO.",None,None,the ministri of aeronaut is author to creat subsidiari compani of infraero to carri out it object sole paragraph arsa aeroporto do rio de janeiro sociedad anônima author to be establish by law 5.580 of may will becom a subsidiari of infraero
970,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,The term of the contract cannot exceed 5 (five) years.,A,A,the term of the contract can not exceed five year
971,Resolution 440/2017 by National Civil Aviation Agency - Register,"If the weight provided for in § 1 of this article is greater than 100 (one hundred) tons, multiplier factor ""3"" shall be applied alternatively.",None,None,if the weight provid for in § of thi articl is greater than one hundr ton multipli factor `` `` shall be appli altern
972,Law 7565/1986 - Brazilian Aeronautical Code,"All transportation in which the points of departure, intermediate and destination are located in the National Territory is considered domestic and is governed by this Code. Sole paragraph. The transport will not lose this character if, for reasons of force majeure, the aircraft makes a stopover in foreign territory, with, however, its points of departure and destination in Brazilian territory.",None,None,all transport in which the point of departur intermedi and destin are locat in the nation territori is consid domest and is govern by thi code sole paragraph the transport will not lose thi charact if for reason of forc majeur the aircraft make a stopov in foreign territori with howev it point of departur and destin in brazilian territori
973,Law 7565/1986 - Brazilian Aeronautical Code,"The investigation of an accident with an Armed Force aircraft shall be conducted by the respective Military Command and, in the case of foreign military aircraft, by the Aeronautics Command or as per agreements in effect.",None,None,the investig of an accid with an arm forc aircraft shall be conduct by the respect militari command and in the case of foreign militari aircraft by the aeronaut command or a per agreement in effect
974,Law 7565/1986 - Brazilian Aeronautical Code,"Once the term has elapsed, apportionment will take place.",None,None,onc the term ha elaps apportion will take place
